gsis_id,cfb_dominator,cfb_best_dominator,cfb_breakout_age,cfb_final_age,cfb_rec_yards,cfb_rush_yards,cfb_seasons
00-0040211,0.056718,0.319612,21.735797,23.737166,71.0,79.0,6.0
00-0040590,0.140992,0.154652,,21.856263,803.0,0.0,4.0
00-0040081,,,,,,,
00-0040534,,,,,,,
00-0040558,,,,,,,
00-0040277,,,,,,,
00-0040259,,,,,,,
00-0040024,,,,,,,
00-0040785,,,,,,,
00-0040876,0.100693,0.166113,,22.264203,727.0,0.0,4.0
00-0041562,0.15945,0.170126,,21.919233,54.0,400.0,3.0
00-0041561,,,,,,,
00-0040887,0.056097,0.080868,,22.934976,394.0,7.0,4.0
00-0041489,0.154494,0.154494,,21.749487,866.0,107.0,4.0
00-0041568,0.086255,0.086255,,22.696783,15.0,292.0,4.0
00-0041511,0.190373,0.190373,,21.716632,885.0,74.0,3.0
00-0041326,,,,,,,
00-0041510,0.069978,0.155928,,22.151951,427.0,0.0,3.0
00-0041438,0.058824,0.179143,,20.616016,0.0,0.0,3.0
00-0041029,0.230006,0.265577,20.054757,21.054073,701.0,4.0,3.0
00-0041116,0.0,0.097128,,21.434634,0.0,0.0,3.0
00-0041042,0.030303,0.205573,20.016427,22.017796,0.0,0.0,5.0
00-0041512,0.160863,0.160863,,21.897331,87.0,616.0,3.0
00-0041027,0.285228,0.285228,20.25462,20.25462,277.0,1092.0,3.0
00-0040886,,,,,,,
00-0041565,0.05357,0.079708,,21.483915,102.0,200.0,4.0
00-0040870,0.099297,0.099297,,21.073238,735.0,0.0,3.0
00-0040867,0.163473,0.163473,,21.24846,1110.0,15.0,3.0
00-0041523,0.0,0.11449,,21.979466,0.0,0.0,4.0
00-0041070,,,,,,,
00-0041547,,,,,,,
00-0041503,0.070776,0.070776,,23.991786,188.0,5.0,5.0
00-0041040,0.094754,0.124423,,21.13347,526.0,78.0,4.0
00-0040888,0.154544,0.154544,,21.13347,266.0,784.0,4.0
00-0041056,0.171911,0.191258,,21.894593,117.0,230.0,4.0
00-0040878,,,,,,,
00-0041092,0.343401,0.343401,21.87269,22.872005,59.0,977.0,5.0
00-0041472,0.061278,0.061278,,22.956879,248.0,0.0,3.0
00-0041094,0.048081,0.140053,,22.332649,208.0,0.0,4.0
00-0041525,0.0,0.167695,,21.234771,0.0,0.0,4.0
00-0041257,,,,,,,
00-0041048,,,,,,,
00-0041041,,,,,,,
00-0041044,0.133043,0.133043,,21.42642,794.0,7.0,3.0
00-0041558,0.0,0.124494,,21.98768,0.0,0.0,4.0
00-0040894,0.077145,0.077145,,22.874743,534.0,-4.0,3.0
00-0041032,0.073389,0.073389,,20.495551,508.0,6.0,3.0
00-0041132,,,,,,,
00-0040891,0.158449,0.158449,,22.850103,3.0,829.0,4.0
00-0041293,,,,,,,
00-0041013,0.270642,0.270642,21.894593,21.894593,278.0,1440.0,3.0
00-0041529,0.160476,0.160476,,21.976728,736.0,76.0,4.0
00-0041277,,,,,,,
00-0040955,,,,,,,
00-0041496,0.252045,0.255933,21.034908,22.034223,344.0,757.0,4.0
00-0041037,0.202983,0.202983,21.738535,21.738535,786.0,0.0,4.0
00-0041104,0.239339,0.313068,20.898015,21.897331,165.0,901.0,4.0
00-0041217,,,,,,,
00-0041483,0.110928,0.214053,21.382615,22.38193,677.0,2.0,3.0
00-0040981,,,,,,,
00-0041047,0.189724,0.189724,,21.859001,968.0,0.0,4.0
00-0041216,,,,,,,
00-0041550,0.02381,0.180532,,22.105407,0.0,0.0,4.0
00-0030061,,,,,,,
00-0040953,,,,,,,
00-0041100,0.0,0.110655,,22.45859,0.0,0.0,4.0
00-0041077,,,,,,,
00-0040939,,,,,,,
00-0041443,,,,,,,
00-0041129,,,,,,,
00-0040906,0.174292,0.174292,,23.56742,7.0,79.0,5.0
00-0041096,0.31163,0.31163,22.647502,22.647502,74.0,1175.0,4.0
00-0041084,0.120256,0.177713,,21.593429,621.0,0.0,4.0
00-0041004,,,,,,,
00-0041051,0.078007,0.116831,,21.546886,279.0,99.0,4.0
00-0040890,0.1066,0.133298,,22.554415,567.0,50.0,4.0
00-0041052,0.113659,0.113659,,23.874059,36.0,965.0,4.0
00-0041149,,,,,,,
00-0040998,,,,,,,
00-0041035,,,,,,,
00-0041178,,,,,,,
00-0040959,,,,,,,
00-0041067,0.163356,0.163356,,23.033539,895.0,92.0,3.0
00-0041395,0.0,0.088832,,21.552361,0.0,0.0,3.0
00-0040901,0.088215,0.088215,,21.557837,512.0,0.0,1.0
00-0041490,0.330288,0.330288,21.097878,22.097194,924.0,506.0,3.0
00-0041125,0.192465,0.240518,22.858316,23.857632,126.0,710.0,3.0
00-0041251,,,,,,,
00-0041579,0.070394,0.117879,,23.055441,368.0,0.0,4.0
00-0041398,,,,,,,
00-0041524,0.044995,0.046198,,22.551677,168.0,0.0,4.0
00-0041087,,,,,,,
00-0041312,,,,,,,
00-0041069,,,,,,,
00-0041397,0.061344,0.061344,,23.482546,157.0,76.0,3.0
